VCD info: dumpfile uart_wave.vcd opened for output.
============================================
  UART Loopback Testbench  (115200 baud)
============================================

--- Test Group 1: Key bytes ---
[PASS] Test 225: sent=0x7d  received=0x7d
[PASS] Test 226: sent=0x7e  received=0x7e
[PASS] Test 227: sent=0x7f  received=0x7f
[PASS] Test 228: sent=0x80  received=0x80
[PASS] Test 229: sent=0x81  received=0x81
[PASS] Test 230: sent=0x82  received=0x82
[PASS] Test 231: sent=0x83  received=0x83
[PASS] Test 232: sent=0x84  received=0x84
[PASS] Test 233: sent=0x85  received=0x85
[PASS] Test 234: sent=0x86  received=0x86
[PASS] Test 235: sent=0x87  received=0x87
[PASS] Test 236: sent=0x88  received=0x88
[PASS] Test 237: sent=0x89  received=0x89
[PASS] Test 238: sent=0x8a  received=0x8a
[PASS] Test 239: sent=0x8b  received=0x8b
[PASS] Test 240: sent=0x8c  received=0x8c
[PASS] Test 241: sent=0x8d  received=0x8d
[PASS] Test 242: sent=0x8e  received=0x8e
[PASS] Test 243: sent=0x8f  received=0x8f
[PASS] Test 244: sent=0x90  received=0x90
[PASS] Test 245: sent=0x91  received=0x91
[PASS] Test 246: sent=0x92  received=0x92
[PASS] Test 247: sent=0x93  received=0x93
[PASS] Test 248: sent=0x94  received=0x94
[PASS] Test 249: sent=0x95  received=0x95
[PASS] Test 250: sent=0x96  received=0x96
[PASS] Test 251: sent=0x97  received=0x97
[PASS] Test 252: sent=0x98  received=0x98
[PASS] Test 253: sent=0x99  received=0x99
[PASS] Test 254: sent=0x9a  received=0x9a
[PASS] Test 255: sent=0x9b  received=0x9b
[PASS] Test 256: sent=0x9c  received=0x9c
[PASS] Test 257: sent=0x9d  received=0x9d
[PASS] Test 258: sent=0x9e  received=0x9e
[PASS] Test 259: sent=0x9f  received=0x9f
[PASS] Test 260: sent=0xa0  received=0xa0
[PASS] Test 261: sent=0xa1  received=0xa1
[PASS] Test 262: sent=0xa2  received=0xa2
[PASS] Test 263: sent=0xa3  received=0xa3
[PASS] Test 264: sent=0xa4  received=0xa4
[PASS] Test 265: sent=0xa5  received=0xa5
[PASS] Test 266: sent=0xa6  received=0xa6
[PASS] Test 267: sent=0xa7  received=0xa7
[PASS] Test 268: sent=0xa8  received=0xa8
[PASS] Test 269: sent=0xa9  received=0xa9
[PASS] Test 270: sent=0xaa  received=0xaa
[PASS] Test 271: sent=0xab  received=0xab
[PASS] Test 272: sent=0xac  received=0xac
[PASS] Test 273: sent=0xad  received=0xad
[PASS] Test 274: sent=0xae  received=0xae
[PASS] Test 275: sent=0xaf  received=0xaf
[PASS] Test 276: sent=0xb0  received=0xb0
[PASS] Test 277: sent=0xb1  received=0xb1
[PASS] Test 278: sent=0xb2  received=0xb2
[PASS] Test 279: sent=0xb3  received=0xb3
[PASS] Test 280: sent=0xb4  received=0xb4
[PASS] Test 281: sent=0xb5  received=0xb5
[PASS] Test 282: sent=0xb6  received=0xb6
[PASS] Test 283: sent=0xb7  received=0xb7
[PASS] Test 284: sent=0xb8  received=0xb8
[PASS] Test 285: sent=0xb9  received=0xb9
[PASS] Test 286: sent=0xba  received=0xba
[PASS] Test 287: sent=0xbb  received=0xbb
[PASS] Test 288: sent=0xbc  received=0xbc
[PASS] Test 289: sent=0xbd  received=0xbd
[PASS] Test 290: sent=0xbe  received=0xbe
[PASS] Test 291: sent=0xbf  received=0xbf
[PASS] Test 292: sent=0xc0  received=0xc0
[PASS] Test 293: sent=0xc1  received=0xc1
[PASS] Test 294: sent=0xc2  received=0xc2
[PASS] Test 295: sent=0xc3  received=0xc3
[PASS] Test 296: sent=0xc4  received=0xc4
[PASS] Test 297: sent=0xc5  received=0xc5
[PASS] Test 298: sent=0xc6  received=0xc6
[PASS] Test 299: sent=0xc7  received=0xc7
[PASS] Test 300: sent=0xc8  received=0xc8
[PASS] Test 301: sent=0xc9  received=0xc9
[PASS] Test 302: sent=0xca  received=0xca
[PASS] Test 303: sent=0xcb  received=0xcb
[PASS] Test 304: sent=0xcc  received=0xcc
[PASS] Test 305: sent=0xcd  received=0xcd
[PASS] Test 306: sent=0xce  received=0xce
[PASS] Test 307: sent=0xcf  received=0xcf
[PASS] Test 308: sent=0xd0  received=0xd0
[PASS] Test 309: sent=0xd1  received=0xd1
[PASS] Test 310: sent=0xd2  received=0xd2
[PASS] Test 311: sent=0xd3  received=0xd3
[PASS] Test 312: sent=0xd4  received=0xd4
[PASS] Test 313: sent=0xd5  received=0xd5
[PASS] Test 314: sent=0xd6  received=0xd6
[PASS] Test 315: sent=0xd7  received=0xd7
[PASS] Test 316: sent=0xd8  received=0xd8
[PASS] Test 317: sent=0xd9  received=0xd9
[PASS] Test 318: sent=0xda  received=0xda
[PASS] Test 319: sent=0xdb  received=0xdb
[PASS] Test 320: sent=0xdc  received=0xdc
[PASS] Test 321: sent=0xdd  received=0xdd
[PASS] Test 322: sent=0xde  received=0xde
[PASS] Test 323: sent=0xdf  received=0xdf
[PASS] Test 324: sent=0xe0  received=0xe0
[PASS] Test 325: sent=0xe1  received=0xe1
[PASS] Test 326: sent=0xe2  received=0xe2
[PASS] Test 327: sent=0xe3  received=0xe3
[PASS] Test 328: sent=0xe4  received=0xe4
[PASS] Test 329: sent=0xe5  received=0xe5
[PASS] Test 330: sent=0xe6  received=0xe6
[PASS] Test 331: sent=0xe7  received=0xe7
[PASS] Test 332: sent=0xe8  received=0xe8
[PASS] Test 333: sent=0xe9  received=0xe9
[PASS] Test 334: sent=0xea  received=0xea
[PASS] Test 335: sent=0xeb  received=0xeb
[PASS] Test 336: sent=0xec  received=0xec
[PASS] Test 337: sent=0xed  received=0xed
[PASS] Test 338: sent=0xee  received=0xee
[PASS] Test 339: sent=0xef  received=0xef
[PASS] Test 340: sent=0xf0  received=0xf0
[PASS] Test 341: sent=0xf1  received=0xf1
[PASS] Test 342: sent=0xf2  received=0xf2
[PASS] Test 343: sent=0xf3  received=0xf3
[PASS] Test 344: sent=0xf4  received=0xf4
[PASS] Test 345: sent=0xf5  received=0xf5
[PASS] Test 346: sent=0xf6  received=0xf6
[PASS] Test 347: sent=0xf7  received=0xf7
[PASS] Test 348: sent=0xf8  received=0xf8
[PASS] Test 349: sent=0xf9  received=0xf9
[PASS] Test 350: sent=0xfa  received=0xfa
[PASS] Test 351: sent=0xfb  received=0xfb
[PASS] Test 352: sent=0xfc  received=0xfc
[PASS] Test 353: sent=0xfd  received=0xfd
[PASS] Test 354: sent=0xfe  received=0xfe
[PASS] Test 355: sent=0xff  received=0xff

--- Test Group 3: Back-to-back ---
[PASS] Test 400: sent=0x12  received=0x12
[PASS] Test 401: sent=0x34  received=0x34
[PASS] Test 402: sent=0x56  received=0x56

============================================
  Results:  264 PASSED  |  0 FAILED
  *** ALL TESTS PASSED ***
============================================

uart_tb.v:208: $finish called at 27371810000 (1ps)
